,id,vendor,total,0-1,1-2,2-3,3-4,4-5,5-6,6-7,7-8,8-9,9+,weighted avg,0-1%,1-2%,2-3%,3-4%,4-5%,5-6%,6-7%,7-8%,8-9%,9+%
0,1,Microsoft,8668,2,110,629,244,1694,948,918,1898,37,2188,7.00,0,1,7,3,20,11,11,22,0,25
1,2,Oracle,8597,2,146,424,563,2627,2469,997,743,40,586,5.90,0,2,5,7,31,29,12,9,0,7
2,3,Google,7209,,52,704,98,1960,680,1243,1315,37,1120,6.60,0,1,10,1,27,9,17,18,1,16
3,4,Debian,6607,,79,368,170,1844,1351,1365,1135,19,276,6.20,0,1,6,3,28,20,21,17,0,4
4,5,Apple,5676,1,58,395,52,1124,706,1520,785,17,1018,6.80,0,1,7,1,20,12,27,14,0,18
5,6,IBM,5454,2,64,364,986,1484,1044,549,536,27,398,5.70,0,1,7,18,27,19,10,10,0,7
6,7,Redhat,4290,,66,338,189,1129,773,698,728,16,353,6.20,0,2,8,4,26,18,16,17,0,8
7,8,Cisco,4246,2,6,94,191,951,908,564,987,45,498,6.70,0,0,2,4,22,21,13,23,1,12
8,9,Fedoraproject,3364,,34,180,91,984,755,796,427,10,87,6.10,0,1,5,3,29,22,24,13,0,3
9,10,Canonical,3350,,48,222,110,1001,592,515,601,9,252,6.20,0,1,7,3,30,18,15,18,0,8
10,11,Linux,2873,1,105,469,80,919,165,231,764,9,130,5.80,0,4,16,3,32,6,8,27,0,5
11,12,Opensuse,2711,,42,174,95,680,539,503,370,5,303,6.30,0,2,6,4,25,20,19,14,0,11
12,13,Mozilla,2352,,12,77,8,541,442,322,400,1,549,7.10,0,1,3,0,23,19,14,17,0,23
13,14,HP,1803,1,10,64,44,293,256,131,400,20,584,7.50,0,1,4,2,16,14,7,22,1,32
14,15,Apache,1709,,11,44,45,434,576,201,301,5,92,6.30,0,1,3,3,25,34,12,18,0,5
15,16,SUN,1535,3,26,98,44,290,271,108,404,3,288,6.80,0,2,6,3,19,18,7,26,0,19
16,17,Netapp,1439,,21,98,55,550,325,205,160,4,21,5.70,0,1,7,4,38,23,14,11,0,1
17,18,Adobe,1409,,,19,16,240,146,97,96,4,791,8.20,0,0,1,1,17,10,7,7,0,56
18,19,SAP,1104,,3,31,72,357,283,174,121,3,60,6.10,0,0,3,7,32,26,16,11,0,5
19,20,Jenkins,1101,,1,58,169,506,143,186,26,1,11,5.30,0,0,5,15,46,13,17,2,0,1
20,21,GNU,923,1,12,52,33,254,207,172,153,2,37,6.10,0,1,6,4,28,22,19,17,0,4
21,22,Suse,917,,18,78,14,173,114,122,171,,227,6.90,0,2,9,2,19,12,13,19,0,25
22,23,Siemens,768,,5,35,30,157,191,208,105,8,29,6.30,0,1,5,4,20,25,27,14,1,4
23,24,Gitlab,701,,1,11,71,307,213,63,34,,1,5.50,0,0,2,10,44,30,9,5,0,0
24,25,F5,685,,1,27,32,197,224,78,94,4,28,6.10,0,0,4,5,29,33,11,14,1,4
25,26,PHP,662,,1,20,8,69,205,97,218,2,42,6.80,0,0,3,1,10,31,15,33,0,6
26,27,Novell,620,1,7,24,8,145,139,47,113,,136,6.90,0,1,4,1,23,22,8,18,0,22
27,28,Imagemagick,619,,,2,2,341,51,120,96,,7,6.00,0,0,0,0,55,8,19,16,0,1
28,29,Wireshark,618,,,23,33,184,300,8,48,3,19,5.80,0,0,4,5,30,49,1,8,0,3
29,30,Huawei,603,,4,49,17,85,212,71,126,8,31,6.30,0,1,8,3,14,35,12,21,1,5
30,31,Vmware,574,,6,41,31,131,101,95,112,4,53,6.40,0,1,7,5,23,18,17,20,1,9
31,32,Intel,552,,8,141,17,252,47,15,65,1,6,5.00,0,1,26,3,46,9,3,12,0,1
32,33,Symantec,538,,4,37,28,117,92,59,108,9,84,6.60,0,1,7,5,22,17,11,20,2,16
33,34,Mcafee,519,,7,44,51,179,74,66,72,4,22,5.70,0,1,8,10,34,14,13,14,1,4
34,35,Freebsd,475,,7,61,11,79,88,37,154,3,35,6.40,0,1,13,2,17,19,8,32,1,7
35,36,Moodle,447,,,7,34,202,109,63,24,,8,5.70,0,0,2,8,45,24,14,5,0,2
36,37,Juniper,446,,3,34,34,82,110,43,105,6,29,6.30,0,1,8,8,18,25,10,24,1,7
37,38,Joomla,439,,,2,7,98,92,63,169,,8,6.70,0,0,0,2,22,21,14,38,0,2
38,39,Dell,431,,2,37,31,90,105,39,71,4,52,6.30,0,0,9,7,21,24,9,16,1,12
39,40,Cpanel,421,,6,49,56,139,64,53,24,4,26,5.50,0,1,12,13,33,15,13,6,1,6
40,41,XEN,400,,22,50,7,160,33,60,54,4,10,5.50,0,6,13,2,40,8,15,14,1,3
41,42,Fortinet,396,,,12,34,158,61,50,50,1,30,6.00,0,0,3,9,40,15,13,13,0,8
42,43,EMC,395,,1,20,29,89,54,49,69,13,71,6.80,0,0,5,7,23,14,12,17,3,18
43,44,Atlassian,387,,,2,55,155,89,39,25,,22,5.80,0,0,1,14,40,23,10,6,0,6
44,45,Wordpress,382,,,8,29,140,86,51,55,1,12,6.00,0,0,2,8,37,23,13,14,0,3
45,46,Ffmpeg,378,,1,2,,95,23,110,74,,73,7.20,0,0,1,0,25,6,29,20,0,19
46,47,Zohocorp,375,,,,16,104,63,56,110,1,25,6.60,0,0,0,4,28,17,15,29,0,7
47,48,Qemu,369,,17,149,10,85,27,19,52,1,9,4.80,0,5,40,3,23,7,5,14,0,2
48,49,Broadcom,356,,1,13,6,65,79,42,84,2,64,7.00,0,0,4,2,18,22,12,24,1,18
49,50,Drupal,352,,,13,50,108,80,46,45,3,7,5.80,0,0,4,14,31,23,13,13,1,2
